date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:23:04	272260/272260	---M--	200	added ('OK')	image/png	date:Thu,%2029%20Feb%202024%2006:20:42%20GMT	https://uiparadox.co.uk/public/templates/lux_hotel/assets/media/card-image/single-room.png	C:/Users/DELL/Downloads/Projet%20Coworking/uiparadox.co.uk/public/templates/lux_hotel/assets/media/card-image/single-room.png	(from https://uiparadox.co.uk/public/templates/lux_hotel/room-list.html)
15:23:04	208/208	---M--	200	added ('OK')	image/png	date:Thu,%2029%20Feb%202024%2006:20:42%20GMT	https://uiparadox.co.uk/public/templates/lux_hotel/assets/media/icon/led-tv.png	C:/Users/DELL/Downloads/Projet%20Coworking/uiparadox.co.uk/public/templates/lux_hotel/assets/media/icon/led-tv.png	(from https://uiparadox.co.uk/public/templates/lux_hotel/room-detail.html)
15:23:05	419/419	---M--	200	added ('OK')	image/png	date:Thu,%2029%20Feb%202024%2006:20:42%20GMT	https://uiparadox.co.uk/public/templates/lux_hotel/assets/media/icon/breakfast.png	C:/Users/DELL/Downloads/Projet%20Coworking/uiparadox.co.uk/public/templates/lux_hotel/assets/media/icon/breakfast.png	(from https://uiparadox.co.uk/public/templates/lux_hotel/room-detail.html)
15:23:05	380/380	---M--	200	added ('OK')	image/png	date:Thu,%2029%20Feb%202024%2006:20:42%20GMT	https://uiparadox.co.uk/public/templates/lux_hotel/assets/media/icon/washing-machine-2.png	C:/Users/DELL/Downloads/Projet%20Coworking/uiparadox.co.uk/public/templates/lux_hotel/assets/media/icon/washing-machine-2.png	(from https://uiparadox.co.uk/public/templates/lux_hotel/room-detail.html)
15:23:06	359/359	---M--	200	added ('OK')	image/png	date:Thu,%2029%20Feb%202024%2006:20:42%20GMT	https://uiparadox.co.uk/public/templates/lux_hotel/assets/media/icon/internet-wifi.png	C:/Users/DELL/Downloads/Projet%20Coworking/uiparadox.co.uk/public/templates/lux_hotel/assets/media/icon/internet-wifi.png	(from https://uiparadox.co.uk/public/templates/lux_hotel/room-detail.html)
15:23:06	420/420	---M--	200	added ('OK')	image/png	date:Thu,%2029%20Feb%202024%2006:20:42%20GMT	https://uiparadox.co.uk/public/templates/lux_hotel/assets/media/icon/swimming-pool.png	C:/Users/DELL/Downloads/Projet%20Coworking/uiparadox.co.uk/public/templates/lux_hotel/assets/media/icon/swimming-pool.png	(from https://uiparadox.co.uk/public/templates/lux_hotel/room-detail.html)
15:23:06	1483/1483	---M--	200	added ('OK')	image/png	date:Thu,%2029%20Feb%202024%2006:20:42%20GMT	https://uiparadox.co.uk/public/templates/lux_hotel/assets/media/user/user-5.png	C:/Users/DELL/Downloads/Projet%20Coworking/uiparadox.co.uk/public/templates/lux_hotel/assets/media/user/user-5.png	(from https://uiparadox.co.uk/public/templates/lux_hotel/room-detail.html)
15:23:07	2757/2757	---M--	200	added ('OK')	image/png	date:Thu,%2029%20Feb%202024%2006:20:42%20GMT	https://uiparadox.co.uk/public/templates/lux_hotel/assets/media/user/user-6.png	C:/Users/DELL/Downloads/Projet%20Coworking/uiparadox.co.uk/public/templates/lux_hotel/assets/media/user/user-6.png	(from https://uiparadox.co.uk/public/templates/lux_hotel/room-detail.html)
15:23:07	9038/9038	---M--	200	added ('OK')	image/png	date:Thu,%2029%20Feb%202024%2006:20:42%20GMT	https://uiparadox.co.uk/public/templates/lux_hotel/assets/media/gallery/side-image-1.png	C:/Users/DELL/Downloads/Projet%20Coworking/uiparadox.co.uk/public/templates/lux_hotel/assets/media/gallery/side-image-1.png	(from https://uiparadox.co.uk/public/templates/lux_hotel/room-detail.html)
15:23:08	9231/9231	---M--	200	added ('OK')	image/png	date:Thu,%2029%20Feb%202024%2006:20:42%20GMT	https://uiparadox.co.uk/public/templates/lux_hotel/assets/media/gallery/side-image-2.png	C:/Users/DELL/Downloads/Projet%20Coworking/uiparadox.co.uk/public/templates/lux_hotel/assets/media/gallery/side-image-2.png	(from https://uiparadox.co.uk/public/templates/lux_hotel/room-detail.html)
15:23:08	9682/9682	---M--	200	added ('OK')	image/png	date:Thu,%2029%20Feb%202024%2006:20:42%20GMT	https://uiparadox.co.uk/public/templates/lux_hotel/assets/media/gallery/side-image-3.png	C:/Users/DELL/Downloads/Projet%20Coworking/uiparadox.co.uk/public/templates/lux_hotel/assets/media/gallery/side-image-3.png	(from https://uiparadox.co.uk/public/templates/lux_hotel/room-detail.html)
15:23:09	2942/2942	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2029%20Feb%202024%2006:20:41%20GMT	https://uiparadox.co.uk/public/templates/lux_hotel/assets/js/vendor/jquery.nice-select.min.js	C:/Users/DELL/Downloads/Projet%20Coworking/uiparadox.co.uk/public/templates/lux_hotel/assets/js/vendor/jquery.nice-select.min.js	(from https://uiparadox.co.uk/public/templates/lux_hotel/room-detail.html)
15:23:11	102011/102011	---M--	200	added ('OK')	image/png	date:Thu,%2029%20Feb%202024%2006:20:41%20GMT	https://uiparadox.co.uk/public/templates/lux_hotel/assets/media/blog/blog-card-1.png	C:/Users/DELL/Downloads/Projet%20Coworking/uiparadox.co.uk/public/templates/lux_hotel/assets/media/blog/blog-card-1.png	(from https://uiparadox.co.uk/public/templates/lux_hotel/blog-grid.html)
15:23:12	418/418	---M--	200	added ('OK')	image/png	date:Thu,%2029%20Feb%202024%2006:20:42%20GMT	https://uiparadox.co.uk/public/templates/lux_hotel/assets/media/vector-shape/blog-vec.png	C:/Users/DELL/Downloads/Projet%20Coworking/uiparadox.co.uk/public/templates/lux_hotel/assets/media/vector-shape/blog-vec.png	(from https://uiparadox.co.uk/public/templates/lux_hotel/blog-grid.html)
15:23:13	2237/2237	---M--	200	added ('OK')	image/png	date:Thu,%2029%20Feb%202024%2006:20:42%20GMT	https://uiparadox.co.uk/public/templates/lux_hotel/assets/media/user/user-7.png	C:/Users/DELL/Downloads/Projet%20Coworking/uiparadox.co.uk/public/templates/lux_hotel/assets/media/user/user-7.png	(from https://uiparadox.co.uk/public/templates/lux_hotel/blog-grid.html)
15:23:15	95221/95221	---M--	200	added ('OK')	image/png	date:Thu,%2029%20Feb%202024%2006:20:41%20GMT	https://uiparadox.co.uk/public/templates/lux_hotel/assets/media/blog/blog-card-2.png	C:/Users/DELL/Downloads/Projet%20Coworking/uiparadox.co.uk/public/templates/lux_hotel/assets/media/blog/blog-card-2.png	(from https://uiparadox.co.uk/public/templates/lux_hotel/blog-grid.html)
15:23:16	108970/108970	---M--	200	added ('OK')	image/png	date:Thu,%2029%20Feb%202024%2006:20:41%20GMT	https://uiparadox.co.uk/public/templates/lux_hotel/assets/media/blog/blog-card-3.png	C:/Users/DELL/Downloads/Projet%20Coworking/uiparadox.co.uk/public/templates/lux_hotel/assets/media/blog/blog-card-3.png	(from https://uiparadox.co.uk/public/templates/lux_hotel/blog-grid.html)
15:23:17	95126/95126	---M--	200	added ('OK')	image/png	date:Thu,%2029%20Feb%202024%2006:20:41%20GMT	https://uiparadox.co.uk/public/templates/lux_hotel/assets/media/blog/blog-card-4.png	C:/Users/DELL/Downloads/Projet%20Coworking/uiparadox.co.uk/public/templates/lux_hotel/assets/media/blog/blog-card-4.png	(from https://uiparadox.co.uk/public/templates/lux_hotel/blog-grid.html)
15:23:19	116021/116021	---M--	200	added ('OK')	image/png	date:Thu,%2029%20Feb%202024%2006:20:42%20GMT	https://uiparadox.co.uk/public/templates/lux_hotel/assets/media/blog/blog-card-5.png	C:/Users/DELL/Downloads/Projet%20Coworking/uiparadox.co.uk/public/templates/lux_hotel/assets/media/blog/blog-card-5.png	(from https://uiparadox.co.uk/public/templates/lux_hotel/blog-grid.html)
15:23:19	124447/124447	---M--	200	added ('OK')	image/png	date:Thu,%2029%20Feb%202024%2006:20:42%20GMT	https://uiparadox.co.uk/public/templates/lux_hotel/assets/media/blog/blog-card-6.png	C:/Users/DELL/Downloads/Projet%20Coworking/uiparadox.co.uk/public/templates/lux_hotel/assets/media/blog/blog-card-6.png	(from https://uiparadox.co.uk/public/templates/lux_hotel/blog-grid.html)
15:23:20	93473/93473	---M--	200	added ('OK')	image/png	date:Thu,%2029%20Feb%202024%2006:20:42%20GMT	https://uiparadox.co.uk/public/templates/lux_hotel/assets/media/blog/blog-card-7.png	C:/Users/DELL/Downloads/Projet%20Coworking/uiparadox.co.uk/public/templates/lux_hotel/assets/media/blog/blog-card-7.png	(from https://uiparadox.co.uk/public/templates/lux_hotel/blog-grid.html)
15:23:22	81439/81439	---M--	200	added ('OK')	image/png	date:Thu,%2029%20Feb%202024%2006:20:42%20GMT	https://uiparadox.co.uk/public/templates/lux_hotel/assets/media/blog/blog-card-8.png	C:/Users/DELL/Downloads/Projet%20Coworking/uiparadox.co.uk/public/templates/lux_hotel/assets/media/blog/blog-card-8.png	(from https://uiparadox.co.uk/public/templates/lux_hotel/blog-grid.html)
15:23:23	111009/111009	---M--	200	added ('OK')	image/png	date:Thu,%2029%20Feb%202024%2006:20:42%20GMT	https://uiparadox.co.uk/public/templates/lux_hotel/assets/media/blog/blog-card-9.png	C:/Users/DELL/Downloads/Projet%20Coworking/uiparadox.co.uk/public/templates/lux_hotel/assets/media/blog/blog-card-9.png	(from https://uiparadox.co.uk/public/templates/lux_hotel/blog-grid.html)
15:23:23	505/505	---M--	200	added ('OK')	image/png	date:Thu,%2029%20Feb%202024%2006:20:42%20GMT	https://uiparadox.co.uk/public/templates/lux_hotel/assets/media/vector-shape/blog-detail-vec.png	C:/Users/DELL/Downloads/Projet%20Coworking/uiparadox.co.uk/public/templates/lux_hotel/assets/media/vector-shape/blog-detail-vec.png	(from https://uiparadox.co.uk/public/templates/lux_hotel/blog-detail.html)
